파카, 83, 151
가가, 96, 159
라가, 64, 164
가하, 95, 168
카카, 52, 186
나파, 56, 185
사자, 79, 178
라카, 91, 165
자가, 95, 155
사나, 55, 168
차바, 54, 175
자사, 66, 182
자라, 64, 182
하다, 67, 179
나가, 59, 186
사가, 59, 178
사타, 60, 181
마가, 43, 153
나타, 80, 169
아바, 70, 176
라나, 92, 180
파바, 43, 186
가사, 89, 163
나마, 71, 178
나하, 62, 178
차바, 97, 168
다카, 62, 165
라마, 48, 175
가나, 55, 161
다마, 95, 184
다다, 55, 156
아아, 90, 150
사다, 90, 175
카바, 59, 171
마카, 43, 164
나파, 84, 183
가라, 57, 180
자차, 93, 170
마나, 44, 160
하아, 52, 156
차파, 82, 167
라나, 72, 187
사바, 74, 184
자카, 83, 156
자아, 75, 174
하사, 51, 176
자라, 46, 186
가가, 65, 178
다타, 61, 156
파가, 93, 189
파나, 67, 152
바마, 76, 154
타아, 48, 181
마바, 63, 187
자사, 57, 173
다하, 59, 187
아카, 44, 168
자바, 66, 161
타마, 78, 161
카나, 72, 154
라아, 55, 163
바가, 87, 189
라카, 91, 163
마아, 87, 169
바다, 83, 170
차하, 86, 181
차타, 65, 150
라마, 47, 161
파자, 90, 184
아카, 58, 185
사파, 94, 154
사가, 93, 172
카마, 93, 184
차아, 73, 159
차바, 70, 160
자하, 67, 171
타하, 88, 178
카파, 48, 154
마사, 61, 189
라아, 96, 178
카다, 49, 181
마카, 69, 159
사사, 68, 150
가바, 93, 182
가아, 52, 180
마아, 79, 152
하파, 80, 163
카아, 53, 178
타나, 41, 185
라다, 59, 165
타카, 85, 182
카다, 52, 185
가자, 67, 157
바라, 78, 181
하카, 99, 152
하나, 50, 170
라라, 87, 152
마카, 44, 167
나타, 40, 163
사사, 51, 160
가차, 53, 159
마타, 67, 162
마아, 61, 174
차가, 40, 175
카파, 84, 152
차바, 92, 155
카파, 52, 166
마파, 59, 166
파마, 77, 182
라카, 44, 166
라하, 47, 163
카카, 91, 180
하자, 56, 153
카카, 93, 174
나하, 95, 163
하바, 44, 159
마바, 67, 188
타마, 48, 157
라하, 52, 158
다마, 81, 157
카라, 73, 157
라바, 66, 156
자다, 85, 157
가차, 58, 150
카타, 67, 171
타하, 57, 176
차카, 75, 186
타바, 58, 151
타카, 66, 182
마자, 90, 156
나나, 51, 155
가타, 67, 178
나카, 49, 170
다자, 97, 153
나라, 51, 160
타바, 68, 162
사차, 53, 183
아사, 54, 165
타사, 82, 166
다라, 78, 152
아라, 43, 159
가타, 52, 151
가타, 52, 157
카가, 94, 180
자나, 77, 172
아라, 71, 170
하바, 85, 185
아마, 51, 176
파타, 76, 188
다다, 47, 180
타마, 63, 152
사바, 50, 177
하다, 49, 186
마바, 82, 151
라나, 87, 182
하파, 69, 160
아차, 72, 158
자가, 78, 166
아타, 46, 169
다타, 47, 184
가바, 68, 174
파아, 97, 178
마차, 87, 172
나마, 86, 186
나바, 40, 186
라라, 70, 158
아바, 59, 163
카타, 55, 186
타하, 97, 175
타아, 88, 175
사타, 73, 172
카나, 58, 152
파나, 94, 189
라다, 66, 150
하마, 48, 173
가가, 58, 174
나자, 84, 176
나자, 57, 172
바나, 79, 169
자사, 64, 167
아사, 59, 172
자바, 72, 172
나라, 86, 182
마아, 81, 189
사카, 72, 183
다차, 44, 162
마자, 59, 150
다나, 61, 186
나가, 43, 166
카라, 68, 177
나나, 82, 173
카다, 82, 180
하가, 89, 153
라타, 83, 160
파라, 40, 187
아타, 76, 173
마차, 86, 188
나가, 77, 170
사다, 71, 166
라나, 86, 188
사라, 65, 170
라사, 58, 155
카파, 47, 166
카자, 80, 161
사라, 82, 173
나바, 80, 159
사차, 58, 163
하바, 53, 176
차차, 49, 163
타라, 89, 156
바자, 86, 151
나다, 45, 176
마카, 68, 168
나파, 47, 153
라카, 89, 175
자파, 42, 160
차하, 57, 188
차차, 49, 189
타바, 98, 177
가마, 66, 154
카카, 65, 159
타차, 58, 157
라아, 97, 150
아사, 73, 154
파아, 51, 167
카아, 44, 186
파카, 98, 165
라차, 41, 184
다아, 83, 182
다마, 54, 158
카바, 41, 164
자바, 93, 160
라아, 90, 150
바바, 54, 174
하타, 46, 179
타사, 83, 179
마라, 54, 171
나마, 93, 157
파나, 81, 152
나타, 47, 189
바마, 89, 181
차카, 67, 152
다아, 62, 168
타타, 86, 152
다라, 60, 189
타마, 88, 183
나나, 41, 187
차카, 61, 188
가아, 40, 153
바차, 99, 154
다자, 85, 165
하가, 64, 172
하다, 59, 181
파아, 72, 166
나나, 42, 172
나하, 78, 185
라아, 61, 181
자바, 60, 164
아바, 80, 182
나차, 96, 180
카다, 93, 184
가라, 67, 181
가라, 72, 185
자라, 84, 171
사하, 69, 156
다파, 99, 160
